Taper_length,Waist_scale,Waist_len,Low_wavelength,High_wavelength,SC_range
0.07,0.28,0.025,536.2841484226082,2199.2150542740605,1662.9309058514523
0.07,0.29333333333333333,0.025,537.2452002336628,2199.2150542740605,1661.9698540403979
0.07,0.3066666666666667,0.025,534.181890012977,2199.2150542740605,1665.0331642610836
0.07,0.32,0.025,534.4675905702087,2199.2150542740605,1664.7474637038517
0.07,0.33333333333333337,0.025,532.3795222932949,2199.2150542740605,1666.8355319807656
0.07,0.3466666666666667,0.025,528.0658558661265,2199.2150542740605,1671.149198407934
0.07,0.36,0.025,526.5817899070249,2199.2150542740605,1672.6332643670357
0.07,0.37333333333333335,0.025,522.7255137959165,2199.2150542740605,1676.4895404781441
0.07,0.3866666666666667,0.025,519.8250982921878,2199.2150542740605,1679.3899559818728
0.07,0.4,0.025,1120.225579724166,2199.2150542740605,1078.9894745498946
0.08,0.28,0.025,522.9078648024231,2199.2150542740605,1676.3071894716375
0.08,0.29333333333333333,0.025,519.2848499484498,2199.2150542740605,1679.9302043256107
0.08,0.3066666666666667,0.025,518.1181555506245,2199.2150542740605,1681.096898723436
0.08,0.32,0.025,516.2445297189257,2199.2150542740605,1682.970524555135
0.08,0.33333333333333337,0.025,517.313510326259,2199.2150542740605,1681.9015439478017
0.08,0.3466666666666667,0.025,520.9089743600695,2199.2150542740605,1678.3060799139912
0.08,0.36,0.025,521.724852262913,2199.2150542740605,1677.4902020111476
0.08,0.37333333333333335,0.025,526.2120758740127,2199.2150542740605,1673.0029784000478
0.08,0.3866666666666667,0.025,534.0867243581265,2199.2150542740605,1665.128329915934
0.08,0.4,0.025,818.8412207006828,2199.2150542740605,1380.3738335733779
0.09000000000000001,0.28,0.025,523.1816299840395,2199.2150542740605,1676.033424290021
0.09000000000000001,0.29333333333333333,0.025,526.2120758740127,2199.2150542740605,1673.0029784000478
0.09000000000000001,0.3066666666666667,0.025,528.7177683989523,2199.2150542740605,1670.4972858751082
0.09000000000000001,0.32,0.025,532.096049144223,2199.2150542740605,1667.1190051298377
0.09000000000000001,0.33333333333333337,0.025,535.3265288295183,2199.2150542740605,1663.8885254445422
0.09000000000000001,0.3466666666666667,0.025,538.8869176412151,2199.2150542740605,1660.3281366328456
0.09000000000000001,0.36,0.025,540.7336925671517,2199.2150542740605,1658.481361706909
0.09000000000000001,0.37333333333333335,0.025,544.3666133966587,2199.2150542740605,1654.8484408774018
0.09000000000000001,0.3866666666666667,0.025,540.3438467045389,2199.2150542740605,1658.8712075695216
0.09000000000000001,0.4,0.025,1156.0806865445168,2199.2150542740605,1043.1343677295438
0.1,0.28,0.025,539.5658389243573,2199.2150542740605,1659.6492153497034
0.1,0.29333333333333333,0.025,543.084632231388,2199.2150542740605,1656.1304220426725
0.1,0.3066666666666667,0.025,545.6546612568965,2199.2150542740605,1653.5603930171642
0.1,0.32,0.025,546.8490504769079,2199.2150542740605,1652.3660037971526
0.1,0.33333333333333337,0.025,539.3716869175421,2199.2150542740605,1659.8433673565185
0.1,0.3466666666666667,0.025,544.0702346887853,2199.2150542740605,1655.1448195852754
0.1,0.36,0.025,549.1529733417337,2199.2150542740605,1650.0620809323268
0.1,0.37333333333333335,0.025,553.7172631697704,2199.2150542740605,1645.4977911042902
0.1,0.3866666666666667,0.025,550.7671857321677,2199.2150542740605,1648.4478685418928
0.1,0.4,0.025,1164.6137100577944,2199.2150542740605,1034.6013442162662
0.11000000000000001,0.28,0.025,539.0807207474716,2199.2150542740605,1660.134333526589
0.11000000000000001,0.29333333333333333,0.025,548.4497269685203,2199.2150542740605,1650.7653273055403
0.11000000000000001,0.3066666666666667,0.025,554.434091775025,2199.2150542740605,1644.7809624990355
0.11000000000000001,0.32,0.025,558.4620737240583,2199.2150542740605,1640.7529805500021
0.11000000000000001,0.33333333333333337,0.025,559.9223290685154,2199.2150542740605,1639.2927252055451
0.11000000000000001,0.3466666666666667,0.025,567.0177562257156,2199.2150542740605,1632.197298048345
0.11000000000000001,0.36,0.025,566.9105326016388,2199.2150542740605,1632.3045216724217
0.11000000000000001,0.37333333333333335,0.025,570.7963060601297,2199.2150542740605,1628.418748213931
0.11000000000000001,0.3866666666666667,0.025,575.1767869772065,2199.2150542740605,1624.038267296854
0.11000000000000001,0.4,0.025,1175.1132130345209,2199.2150542740605,1024.1018412395397
0.12000000000000001,0.28,0.025,562.0217047767974,2199.2150542740605,1637.1933494972632
0.12000000000000001,0.29333333333333333,0.025,562.5490108274483,2199.2150542740605,1636.666043446612
0.12000000000000001,0.3066666666666667,0.025,566.3750221894962,2199.2150542740605,1632.8400320845644
0.12000000000000001,0.32,0.025,570.7963060601297,2199.2150542740605,1628.418748213931
0.12000000000000001,0.33333333333333337,0.025,575.9502929847666,2199.2150542740605,1623.2647612892938
0.12000000000000001,0.3466666666666667,0.025,582.7799475094096,2199.2150542740605,1616.435106764651
0.12000000000000001,0.36,0.025,591.2857050015363,2199.2150542740605,1607.9293492725242
0.12000000000000001,0.37333333333333335,0.025,597.5318724371793,2199.2150542740605,1601.6831818368812
0.12000000000000001,0.3866666666666667,0.025,580.410546945723,2199.2150542740605,1618.8045073283374
0.12000000000000001,0.4,0.025,1179.273430470457,2199.2150542740605,1019.9416238036035
0.13,0.28,0.025,580.410546945723,2199.2150542740605,1618.8045073283374
0.13,0.29333333333333333,0.025,585.2830146480112,2199.2150542740605,1613.9320396260493
0.13,0.3066666666666667,0.025,590.9360510690476,2199.2150542740605,1608.279003205013
0.13,0.32,0.025,590.0056591128775,2199.2150542740605,1609.209395161183
0.13,0.33333333333333337,0.025,575.2871606079625,2199.2150542740605,1623.927893666098
0.13,0.3466666666666667,0.025,582.1010042265435,2199.2150542740605,1617.1140500475171
0.13,0.36,0.025,582.6666803312943,2199.2150542740605,1616.5483739427664
0.13,0.37333333333333335,0.025,586.4278943028933,2199.2150542740605,1612.7871599711673
0.13,0.3866666666666667,0.025,590.2379823354992,2199.2150542740605,1608.9770719385615
0.13,0.4,0.025,762.0203102789052,2199.2150542740605,1437.1947439951555
0.14,0.28,0.025,580.29819882422,2199.2150542740605,1618.9168554498406
0.14,0.29333333333333333,0.025,577.2811546844633,2199.2150542740605,1621.9338995895973
0.14,0.3066666666666667,0.025,578.3949134685845,2199.2150542740605,1620.820140805476
0.14,0.32,0.025,581.4236410515091,2199.2150542740605,1617.7914132225515
0.14,0.33333333333333337,0.025,587.8076761161897,2199.2150542740605,1611.4073781578709
0.14,0.3466666666666667,0.025,591.4023482809489,2199.2150542740605,1607.8127059931116
0.14,0.36,0.025,596.3432697852405,2199.2150542740605,1602.8717844888201
0.14,0.37333333333333335,0.025,699.6030562600662,2199.2150542740605,1499.6119980139943
0.14,0.3866666666666667,0.025,605.0082871875321,2199.2150542740605,1594.2067670865285
0.14,0.4,0.025,802.6186395554845,2199.2150542740605,1396.596414718576
0.15000000000000002,0.28,0.025,586.6574079275542,2199.2150542740605,1612.5576463465063
0.15000000000000002,0.29333333333333333,0.025,590.0056591128775,2199.2150542740605,1609.209395161183
0.15000000000000002,0.3066666666666667,0.025,593.5098248722481,2199.2150542740605,1605.7052294018124
0.15000000000000002,0.32,0.025,597.5318724371793,2199.2150542740605,1601.6831818368812
0.15000000000000002,0.33333333333333337,0.025,600.1635499475293,2199.2150542740605,1599.0515043265314
0.15000000000000002,0.3466666666666667,0.025,603.5466730774813,2199.2150542740605,1595.6683811965793
0.15000000000000002,0.36,0.025,606.9681537727893,2199.2150542740605,1592.2469005012713
0.15000000000000002,0.37333333333333335,0.025,736.1965944238968,2199.2150542740605,1463.0184598501637
0.15000000000000002,0.3866666666666667,0.025,679.7738441565394,2199.2150542740605,1519.4412101175212
0.15000000000000002,0.4,0.025,1086.921546374867,2199.2150542740605,1112.2935078991936
0.16,0.28,0.025,597.293773007353,2199.2150542740605,1601.9212812667074
0.16,0.29333333333333333,0.025,600.1635499475293,2199.2150542740605,1599.0515043265314
0.16,0.3066666666666667,0.025,602.5761807533031,2199.2150542740605,1596.6388735207574
0.16,0.32,0.025,607.2140302577077,2199.2150542740605,1592.0010240163529
0.16,0.33333333333333337,0.025,612.7994001564672,2199.2150542740605,1586.4156541175935
0.16,0.3466666666666667,0.025,707.5283631239046,2199.2150542740605,1491.686691150156
0.16,0.36,0.025,746.0902832050634,2199.2150542740605,1453.1247710689972
0.16,0.37333333333333335,0.025,740.0127988157642,2199.2150542740605,1459.2022554582963
0.16,0.3866666666666667,0.025,711.0524294268805,2199.2150542740605,1488.16262484718
0.16,0.4,0.025,826.97275875207,2199.2150542740605,1372.2422955219904
